Positive Gradient,Negative Gradient,Positive Y Intersection,Negative Y Intersection,x-intercept Difference,Sum Score
0.052407783,-0.932515,-0.0,0.0,0.0,97.0
0.052407783,-0.86928654,-0.0,-0.0,0.0,97.0
0.052407783,-0.8390997,-0.0,-0.0,0.0,97.0
0.052407783,-0.78128564,-0.0,0.0,0.0,97.0
0.052407783,-0.017455116,-0.0,-0.0,0.0,97.0
0.052407783,-28.636282,-0.0,0.0,0.0,97.0
0.052407783,-11.430049,-0.0,0.0,0.0,97.0
0.052407783,-8.144349,-0.0,-0.0,0.0,97.0
0.052407783,-5.6712813,-0.0,-0.0,0.0,97.0
0.052407783,-5.144553,-0.0,0.0,0.0,97.0
0.052407783,-4.704632,-0.0,-0.0,0.0,97.0
